timestamp,frame_id,yaw,pitch,roll,ear,wrist_velocity,label
1779193404.824,1,5.7,-0.7,0.24,0.3669,0.0,0
1779193405.167,2,5.9,1.18,1.07,0.3784,0.005137,0
1779193405.2418,3,6.17,2.72,1.13,0.3846,0.005431,0
1779193405.3485,4,6.56,3.41,1.18,0.3824,0.004527,0
1779193405.4642,5,6.87,3.01,1.05,0.3801,0.006162,0
1779193405.5539,6,6.8,2.79,1.77,0.383,0.007629,0
1779193405.6448,7,6.63,2.69,2.27,0.3862,0.006613,0
1779193405.7543,8,6.29,3.45,1.97,0.3871,0.006724,0
1779193405.8418,9,5.71,0.22,2.33,0.4239,0.009748,0
1779193405.9337,10,5.53,1.48,2.33,0.3919,0.008201,0
1779193406.0276,11,5.85,3.44,1.12,0.3996,0.007188,0
1779193406.0859,12,6.03,3.27,0.91,0.394,0.00647,0
1779193406.1531,13,6.15,3.63,0.42,0.3979,0.006266,0
1779193406.2212,14,6.13,3.44,0.42,0.396,0.004104,0
1779193406.2989,15,6.43,5.27,0.2,0.3988,0.004521,0
1779193406.3795,16,6.2,5.84,0.2,0.3853,0.005538,0
1779193406.467,17,6.3,5.75,0.26,0.3874,0.007237,0
1779193406.5567,18,6.23,4.59,0.86,0.3917,0.007341,0
1779193406.6458,19,6.06,3.63,0.82,0.3976,0.007174,0
1779193406.729,20,5.78,2.3,1.79,0.4015,0.007069,0
1779193406.8083,21,5.54,1.73,1.65,0.404,0.006536,0
1779193406.8895,22,5.39,1.94,1.71,0.4044,0.004893,0
1779193406.9558,23,5.42,1.91,1.7,0.4071,0.005354,0
1779193407.0056,24,5.41,2.02,2.15,0.4087,0.004836,0
1779193407.0543,25,5.51,2.05,2.33,0.4075,0.003764,0
1779193407.1171,26,5.54,1.81,2.37,0.4079,0.003275,0
1779193407.1827,27,5.54,1.66,2.52,0.4085,0.003058,0
1779193407.2583,28,5.49,1.87,2.59,0.4065,0.002063,0
1779193407.3319,29,5.4,1.43,2.68,0.4078,0.002412,0
1779193407.4044,30,5.54,1.9,2.81,0.4089,0.002862,0
1779193407.4765,31,5.59,2.31,2.96,0.4105,0.00322,0
1779193407.5464,32,5.69,2.64,3.07,0.4132,0.003408,0
1779193407.6241,33,5.78,2.66,3.02,0.4159,0.002979,0
1779193407.6937,34,5.76,2.55,3.0,0.4169,0.002756,0
1779193407.7692,35,5.78,2.44,2.88,0.4195,0.002957,0
1779193407.843,36,5.78,2.29,2.85,0.4211,0.002719,0
1779193407.9196,37,5.8,2.14,2.94,0.4245,0.002642,0
1779193407.9968,38,5.77,1.92,2.98,0.4234,0.003662,0
1779193408.071,39,5.73,1.91,2.98,0.4214,0.003658,0
1779193408.1397,40,5.82,2.8,3.22,0.4196,0.002964,0
1779193408.2063,41,5.61,2.34,3.39,0.4208,0.004012,0
1779193408.2749,42,5.46,2.28,3.46,0.4138,0.004233,0
1779193408.3416,43,5.52,2.54,3.63,0.412,0.003477,0
1779193408.4498,44,5.47,2.25,3.61,0.4144,0.0036,0
1779193408.5425,45,5.47,1.9,3.72,0.4156,0.003846,0
1779193408.6104,46,5.39,1.88,3.81,0.4157,0.002476,0
1779193408.6871,47,5.38,1.62,3.87,0.4159,0.003002,0
1779193408.7897,48,5.38,1.66,3.98,0.4248,0.003283,0
1779193408.8655,49,5.43,1.73,4.17,0.4251,0.003056,0
1779193408.9442,50,5.46,1.88,4.32,0.4207,0.003831,0
1779193409.0289,51,5.59,2.78,4.47,0.4194,0.005585,0
1779193409.0998,52,5.64,2.71,4.65,0.4185,0.005207,0
1779193409.1623,53,5.5,2.5,4.92,0.4204,0.005509,0
1779193409.2321,54,5.48,2.1,5.33,0.4219,0.005456,0
1779193409.3056,55,5.39,1.45,5.32,0.4174,0.00467,0
1779193409.3757,56,5.25,0.47,5.27,0.4159,0.003708,0
1779193409.4447,57,5.17,-0.11,5.32,0.4183,0.003956,0
1779193409.4957,58,5.06,-0.2,5.44,0.4131,0.003679,0
1779193409.5534,59,5.01,-0.01,5.05,0.4089,0.003441,0
1779193409.6149,60,4.87,-0.38,4.82,0.4106,0.003568,0
1779193409.697,61,4.67,-1.26,4.69,0.4129,0.00445,0
1779193409.7589,62,4.55,-1.79,4.89,0.4132,0.005776,0
1779193409.8099,63,4.5,-1.12,4.85,0.4129,0.006128,0
1779193409.8699,64,4.64,-1.45,4.82,0.4187,0.006926,0
1779193409.9498,65,4.66,-1.91,4.8,0.4279,0.007408,0
1779193410.0196,66,4.73,-1.48,4.46,0.4301,0.006678,0
1779193410.0845,67,4.73,-1.26,4.34,0.4315,0.005522,0
1779193410.1515,68,4.74,-1.31,4.36,0.4309,0.005809,0
1779193410.2229,69,4.81,-1.27,4.21,0.4274,0.006441,0
1779193410.2961,70,4.95,-0.87,3.94,0.4285,0.006643,0
1779193410.3723,71,5.02,-1.32,4.07,0.4284,0.005735,0
1779193410.451,72,5.06,-1.29,4.14,0.4257,0.004937,0
1779193410.5284,73,5.01,-1.6,4.17,0.4264,0.004027,0
1779193410.599,74,4.97,-1.64,4.31,0.4259,0.003039,0
1779193410.6728,75,4.96,-1.61,4.34,0.426,0.003193,0
1779193410.7531,76,4.98,-1.44,4.16,0.4253,0.004692,0
1779193410.8176,77,5.0,-1.21,4.11,0.4243,0.004928,0
1779193410.885,78,4.96,-1.1,4.1,0.4241,0.006716,0
1779193410.9596,79,4.94,-1.0,4.16,0.4224,0.00631,0
1779193411.0318,80,4.92,-0.93,4.17,0.4222,0.005535,0
1779193411.1009,81,4.9,-0.89,4.12,0.4209,0.004245,0
1779193411.1662,82,4.88,-0.79,4.11,0.4224,0.004302,0
1779193411.2338,83,4.86,-0.78,4.12,0.4243,0.002868,0
1779193411.3074,84,4.86,-0.54,4.12,0.425,0.002946,0
1779193411.3931,85,4.77,-0.08,4.03,0.4256,0.002622,0
1779193411.5098,86,4.76,0.47,4.03,0.426,0.002423,0
1779193411.5765,87,4.76,0.97,3.82,0.4255,0.002369,0
1779193411.6454,88,4.82,1.28,3.83,0.4242,0.002845,0
1779193411.7436,89,4.81,1.3,3.8,0.4235,0.003412,0
1779193411.8318,90,4.81,0.96,3.82,0.4225,0.004433,0
1779193411.8919,91,4.82,0.85,3.79,0.4236,0.005195,0
1779193411.9682,92,4.79,0.86,3.83,0.425,0.005226,0
1779193412.0459,93,4.79,0.87,3.8,0.4255,0.00459,0
1779193412.1169,94,4.77,0.63,4.03,0.4249,0.004518,0
1779193412.1764,95,4.77,0.51,4.18,0.4247,0.003855,0
1779193412.2401,96,4.79,0.5,4.13,0.4246,0.003762,0
1779193412.3122,97,4.78,0.44,4.14,0.4242,0.004673,0
1779193412.3866,98,4.77,0.47,4.09,0.4233,0.004652,0
1779193412.4532,99,4.8,0.51,4.03,0.4247,0.004748,0
1779193412.5347,100,4.81,0.53,4.06,0.4242,0.004731,0
1779193412.6097,101,4.84,0.57,4.07,0.4219,0.00488,0
1779193412.6819,102,4.86,0.66,4.17,0.4215,0.00449,0
1779193412.7674,103,4.88,0.65,4.35,0.4211,0.004674,0
1779193412.8492,104,4.88,0.57,4.54,0.4208,0.004628,0
1779193412.9389,105,4.92,0.91,4.72,0.4239,0.005413,0
1779193413.0247,106,4.94,0.66,4.81,0.4256,0.004956,0
1779193413.0918,107,4.95,0.61,4.81,0.4264,0.004201,0
1779193413.1638,108,4.97,0.7,4.87,0.4271,0.003726,0
1779193413.2289,109,4.92,0.28,4.87,0.4269,0.003569,0
1779193413.287,110,4.92,0.15,4.92,0.4269,0.003517,0
1779193413.3466,111,4.93,0.13,4.91,0.4265,0.003724,0
1779193413.4189,112,4.91,0.01,4.91,0.427,0.003973,0
1779193413.4909,113,4.9,0.22,4.88,0.4271,0.004011,0
1779193413.5438,114,4.88,0.24,4.85,0.4258,0.003767,0
1779193413.6126,115,4.86,0.28,4.86,0.4231,0.003406,0
1779193413.6921,116,4.87,0.45,4.93,0.4224,0.003443,0
1779193413.764,117,4.85,0.62,4.91,0.4209,0.003596,0
1779193413.838,118,4.84,0.91,4.92,0.4196,0.004274,0
1779193413.9158,119,4.83,0.94,4.99,0.4205,0.004839,0
1779193413.9966,120,4.89,0.94,4.95,0.42,0.004624,0
1779193414.0725,121,4.85,0.66,4.9,0.4204,0.005025,0
1779193414.1404,122,4.84,0.48,5.02,0.4198,0.00635,0
1779193414.2073,123,4.8,0.37,5.01,0.4202,0.00662,0
1779193414.2749,124,4.79,0.33,4.95,0.4202,0.0077,0
1779193414.3468,125,4.79,0.33,4.93,0.4203,0.008532,0
1779193414.4352,126,4.78,0.49,4.93,0.4211,0.00903,0
1779193414.5262,127,4.78,0.66,4.98,0.4241,0.007338,0
1779193414.6038,128,4.79,1.01,4.94,0.4244,0.006432,0
1779193414.684,129,4.75,0.84,4.92,0.4213,0.005071,0
1779193414.7889,130,4.71,1.46,5.06,0.4201,0.004552,0
1779193414.8656,131,4.77,1.83,5.05,0.4196,0.003492,0
1779193414.9293,132,4.79,1.87,5.01,0.4193,0.004268,0
1779193414.9784,133,4.82,2.13,5.06,0.4151,0.004867,0
1779193415.0429,134,4.99,3.56,5.3,0.4124,0.005263,0
1779193415.1072,135,5.0,4.34,5.46,0.4112,0.005354,0
1779193415.1768,136,5.16,6.7,5.5,0.4082,0.006161,0
1779193415.2759,137,4.91,7.47,5.75,0.4126,0.005538,0
1779193415.3514,138,4.95,8.54,5.93,0.4073,0.005308,0
1779193415.4174,139,5.24,8.97,5.74,0.4065,0.004927,0
1779193415.4798,140,5.21,9.44,5.73,0.408,0.005081,0
1779193415.5392,141,5.66,12.67,5.29,0.4149,0.004964,0
1779193415.606,142,5.82,14.88,4.89,0.411,0.00527,0
1779193415.6705,143,7.0,17.92,4.34,0.405,0.00464,0
1779193415.7376,144,7.16,19.96,4.63,0.4003,0.003999,0
1779193415.817,145,6.9,21.42,5.38,0.4085,0.002795,0
1779193415.8958,146,6.85,21.49,5.3,0.4,0.001719,0
1779193415.9727,147,6.96,22.36,5.72,0.4,0.001326,0
1779193416.0447,148,6.93,22.46,5.98,0.4018,0.001218,0
1779193416.1098,149,6.96,22.7,6.43,0.4025,0.00176,0
1779193416.1739,150,6.8,22.55,6.35,0.4025,0.002737,0
1779193416.2525,151,6.76,22.8,6.54,0.4022,0.00363,0
1779193416.3285,152,6.75,22.91,6.79,0.4026,0.004199,0
1779193416.4079,153,6.71,22.98,6.9,0.4005,0.005412,0
1779193416.4907,154,6.64,23.31,6.61,0.4083,0.005318,0
1779193416.5694,155,6.15,20.12,7.15,0.4092,0.005708,0
1779193416.6553,156,6.18,18.92,7.22,0.4023,0.005853,0
1779193416.7304,157,5.95,18.8,7.37,0.406,0.006461,0
1779193416.8067,158,5.25,15.56,6.93,0.4066,0.007033,0
1779193416.8879,159,5.02,13.17,5.86,0.4083,0.008664,0
1779193416.9652,160,5.44,11.64,4.62,0.3896,0.007916,0
1779193417.037,161,5.81,10.5,4.97,0.3845,0.00738,0
1779193417.1065,162,5.85,9.43,4.92,0.3964,0.006822,0
1779193417.1699,163,5.72,5.03,4.32,0.4016,0.005785,0
1779193417.2388,164,6.13,1.42,3.47,0.4109,0.004557,0
1779193417.3071,165,5.72,-9.13,4.7,0.4014,0.004519,0
1779193417.3789,166,5.97,-11.03,4.87,0.3926,0.004027,0
1779193417.4511,167,6.14,-14.53,5.31,0.3911,0.003161,0
1779193417.5216,168,6.24,-15.15,5.16,0.3942,0.002722,0
1779193417.6207,169,6.49,-14.54,4.48,0.4064,0.002089,0
1779193417.7124,170,6.71,-14.54,3.96,0.417,0.002359,0
1779193417.786,171,6.91,-14.14,3.75,0.4213,0.003599,0
1779193417.856,172,7.02,-13.4,3.51,0.4238,0.004593,0
1779193417.94,173,7.11,-12.49,3.17,0.424,0.005735,0
1779193418.0316,174,7.24,-10.61,2.97,0.4233,0.005693,0
1779193418.0973,175,7.24,-9.85,2.98,0.4254,0.006657,0
1779193418.1604,176,7.42,-8.91,2.4,0.4255,0.006705,0
1779193418.2289,177,7.55,-7.84,2.06,0.4231,0.006417,0
1779193418.3042,178,7.57,-6.87,1.98,0.42,0.006099,0
1779193418.3786,179,7.29,-6.24,1.73,0.4176,0.006245,0
1779193418.4623,180,7.26,-5.59,1.83,0.4176,0.004847,0
1779193418.5351,181,7.23,-4.47,1.88,0.4167,0.003801,0
1779193418.6128,182,6.96,-6.23,1.81,0.4137,0.003655,0
1779193418.6873,183,6.82,-7.15,1.9,0.4156,0.00351,0
1779193418.7653,184,6.81,-6.02,2.75,0.4142,0.004857,0
1779193418.8474,185,6.96,-3.01,3.05,0.4155,0.005171,0
1779193418.9286,186,6.44,-0.79,2.62,0.4063,0.005145,0
1779193419.0053,187,6.26,0.67,1.94,0.4105,0.00535,0
1779193419.0767,188,6.01,4.62,1.75,0.4103,0.004938,0
1779193419.1437,189,6.17,7.46,2.72,0.4099,0.004184,0
1779193419.2117,190,6.1,6.79,2.78,0.4078,0.004717,0
1779193419.2831,191,7.01,9.29,3.74,0.4054,0.006388,0
1779193419.354,192,6.65,10.13,3.12,0.4093,0.006582,0
1779193419.4185,193,6.63,13.02,2.1,0.4095,0.005983,0
1779193419.4881,194,6.77,13.85,1.95,0.4138,0.005349,0
1779193419.5658,195,6.39,15.17,2.31,0.4191,0.004108,0
1779193419.6434,196,6.02,15.18,1.44,0.415,0.002153,0
1779193419.7179,197,5.84,15.62,1.43,0.42,0.001274,0
1779193419.8002,198,5.84,16.02,1.54,0.4229,0.00166,0
1779193419.8835,199,5.99,16.06,1.84,0.4167,0.002186,0
1779193419.9574,200,6.38,12.22,1.65,0.4112,0.002815,0
1779193420.037,201,6.85,9.48,1.99,0.4034,0.003688,0
1779193420.1039,202,7.82,8.1,1.98,0.4048,0.004974,0
1779193420.1667,203,9.02,6.99,2.56,0.4102,0.005722,0
1779193420.2196,204,8.91,2.32,2.23,0.4161,0.00515,0
1779193420.2903,205,8.83,1.85,2.12,0.4085,0.00465,0
1779193420.3578,206,8.61,1.52,2.23,0.4153,0.004049,0
1779193420.4313,207,8.51,0.36,2.4,0.4152,0.00266,0
1779193420.5214,208,8.62,0.96,2.56,0.418,0.001638,0
1779193420.6051,209,8.62,1.18,2.59,0.422,0.001785,0
1779193420.6831,210,8.46,-0.72,1.63,0.425,0.002851,0
1779193420.7593,211,7.72,-2.85,1.62,0.4224,0.003116,0
1779193420.8401,212,7.21,-5.03,1.33,0.4246,0.003638,0
1779193420.931,213,7.27,-6.27,1.43,0.424,0.004221,0
1779193421.0089,214,7.21,-6.81,1.58,0.4183,0.004342,0
1779193421.0796,215,7.33,-6.12,1.51,0.4189,0.003292,0
1779193421.1512,216,6.87,-13.88,3.1,0.4065,0.003247,0
1779193421.2235,217,6.77,-18.25,5.01,0.4027,0.00303,0
1779193421.2974,218,6.04,-20.26,5.32,0.3991,0.003869,0
1779193421.3731,219,6.16,-20.01,5.25,0.3985,0.004213,0
1779193421.456,220,6.4,-19.56,5.3,0.4077,0.004607,0
1779193421.5319,221,6.88,-18.38,5.1,0.4135,0.005462,0
1779193421.6017,222,7.13,-18.12,5.34,0.4136,0.006164,0
1779193421.6697,223,7.16,-18.99,5.5,0.4127,0.004905,0
1779193421.747,224,7.34,-18.34,5.25,0.4179,0.00437,0
1779193421.8283,225,7.49,-18.41,5.26,0.4193,0.004976,0
1779193421.898,226,7.67,-17.9,5.25,0.4202,0.004494,0
1779193421.9516,227,7.78,-15.88,4.79,0.415,0.00411,0
1779193422.0022,228,7.5,-15.51,4.02,0.4205,0.005465,0
1779193422.0545,229,7.31,-12.85,2.67,0.4168,0.006447,0
1779193422.1035,230,7.3,-10.42,1.81,0.4157,0.007195,0
1779193422.1558,231,6.96,-10.6,1.6,0.4142,0.007839,0
1779193422.2056,232,6.87,-7.8,1.09,0.4083,0.007494,0
1779193422.2768,233,6.99,-5.16,1.17,0.4092,0.006168,0
1779193422.3538,234,6.87,-3.37,1.32,0.412,0.005993,0
1779193422.4293,235,6.83,-2.84,1.17,0.411,0.005031,0
1779193422.5059,236,6.57,-1.89,1.36,0.4106,0.004234,0
1779193422.5842,237,6.58,-1.69,1.38,0.4133,0.005191,0
1779193422.6521,238,6.49,-2.03,1.53,0.4152,0.005356,0
1779193422.7136,239,6.46,-1.76,1.74,0.4151,0.004592,0
1779193422.7838,240,6.5,-2.18,1.91,0.415,0.003806,0
1779193422.8626,241,6.56,-2.56,2.09,0.4184,0.003232,0
1779193422.9306,242,6.61,-2.8,2.3,0.4187,0.003429,0
1779193423.003,243,6.66,-3.06,2.34,0.417,0.004445,0
1779193423.0762,244,6.67,-3.36,2.69,0.414,0.005444,0
1779193423.1418,245,6.9,-2.85,2.45,0.4128,0.00608,0
1779193423.2078,246,6.86,-2.67,2.38,0.412,0.006554,0
1779193423.2783,247,6.72,-3.19,2.51,0.4131,0.006269,0
1779193423.3519,248,6.79,-3.08,2.64,0.4173,0.005294,0
1779193423.4165,249,6.81,-3.23,2.62,0.4193,0.004645,0
1779193423.4922,250,7.02,-2.63,2.48,0.4198,0.004013,0
1779193423.5778,251,7.11,-1.67,2.61,0.4184,0.004066,0
1779193423.6668,252,7.24,-0.04,2.47,0.4182,0.002932,0
1779193423.7458,253,7.26,0.47,2.45,0.4179,0.002776,0
1779193423.8565,254,7.25,0.85,2.3,0.4146,0.0024,0
1779193423.9466,255,7.23,1.08,2.23,0.4159,0.002846,0
1779193424.02,256,7.19,0.78,2.55,0.417,0.002548,0
1779193424.0856,257,7.31,1.92,2.66,0.4135,0.003444,0
1779193424.1476,258,7.37,1.59,2.6,0.4149,0.004479,0
1779193424.2127,259,7.33,0.89,2.65,0.4139,0.00504,0
1779193424.2837,260,7.3,0.85,2.61,0.4111,0.0047,0
1779193424.3628,261,7.24,-1.13,2.55,0.4101,0.004562,0
1779193424.4354,262,7.24,-1.33,2.37,0.409,0.003857,0
1779193424.5053,263,7.17,-1.69,2.27,0.4116,0.002918,0
1779193424.5877,264,7.44,-1.58,2.27,0.4145,0.002189,0
1779193424.6682,265,7.53,-0.82,2.27,0.4169,0.002052,0
1779193424.7454,266,7.76,-0.22,2.35,0.4212,0.002522,0
1779193424.8307,267,7.6,-0.68,2.75,0.4227,0.003697,0
1779193424.9121,268,7.42,-0.25,3.24,0.4131,0.004003,0
1779193424.9879,269,7.21,-0.77,3.09,0.4153,0.003799,0
1779193425.0591,270,6.97,-3.96,3.22,0.4193,0.003641,0
1779193425.1225,271,6.48,-6.38,2.77,0.4186,0.003745,0
1779193425.1914,272,6.49,-5.97,2.31,0.4192,0.00346,0
1779193425.248,273,6.41,-6.32,2.09,0.422,0.002985,0
1779193425.312,274,6.48,-6.3,1.59,0.4224,0.003455,0
1779193425.3826,275,6.61,-6.23,1.59,0.4247,0.004841,0
1779193425.4569,276,6.59,-6.12,2.6,0.4258,0.005807,0
1779193425.5397,277,6.7,-7.28,3.33,0.4258,0.00639,0
1779193425.615,278,6.8,-8.1,3.77,0.4251,0.007124,0
1779193425.681,279,6.91,-7.77,3.39,0.4204,0.007697,0
1779193425.7521,280,7.08,-5.73,3.1,0.4221,0.007095,0
1779193425.8295,281,7.09,-5.32,2.62,0.4173,0.005717,0
1779193425.9088,282,6.96,-6.06,2.59,0.4184,0.00491,0
1779193425.9866,283,7.05,-6.65,2.64,0.4215,0.005967,0
1779193426.0683,284,7.05,-6.33,2.64,0.4251,0.005303,0
1779193426.1309,285,7.05,-6.43,2.62,0.4228,0.005923,0
1779193426.1917,286,6.96,-6.73,2.77,0.4182,0.006114,0
1779193426.257,287,6.99,-6.85,2.84,0.418,0.005815,0
1779193426.3082,288,7.17,-5.12,3.03,0.4201,0.004073,0
1779193426.3825,289,7.44,-3.55,3.03,0.4229,0.003972,0
1779193426.4672,290,7.46,-3.85,3.01,0.4241,0.003251,0
1779193426.5482,291,7.47,-4.03,3.03,0.4241,0.003164,0
1779193426.6292,292,7.5,-3.58,2.94,0.4232,0.003994,0
1779193426.7218,293,7.54,-3.65,2.86,0.4255,0.004694,0
1779193426.8248,294,7.31,-3.66,3.16,0.4149,0.00496,0
1779193426.9027,295,6.97,-3.78,3.1,0.4151,0.004641,0
1779193426.9895,296,6.68,-3.98,3.97,0.4078,0.004835,0
1779193427.0732,297,6.61,-4.62,3.68,0.4102,0.004237,0
1779193427.1409,298,6.41,-5.62,4.18,0.4115,0.003527,0
1779193427.2071,299,6.36,-5.91,4.4,0.416,0.003564,0
1779193427.2825,300,6.41,-6.12,4.6,0.4186,0.003168,0
1779193427.3598,301,6.53,-6.31,4.46,0.4251,0.002544,0
1779193427.4347,302,6.93,-6.14,4.25,0.4259,0.001953,0
1779193427.515,303,7.03,-4.83,4.3,0.4284,0.002282,0
1779193427.59,304,6.94,-4.63,4.48,0.4366,0.002536,0
1779193427.6648,305,7.04,-4.82,4.41,0.4317,0.00333,0
1779193427.7421,306,7.11,-4.31,4.11,0.4245,0.003617,0
1779193427.8168,307,7.12,-3.84,3.95,0.4269,0.003739,0
1779193427.8838,308,7.12,-3.69,4.04,0.4262,0.003837,0
1779193427.9578,309,7.18,-3.66,4.04,0.424,0.004505,0
1779193428.0287,310,7.25,-4.0,3.94,0.4211,0.00481,0
1779193428.0927,311,7.15,-4.69,3.96,0.4234,0.005369,0
1779193428.1531,312,7.12,-5.15,4.02,0.4247,0.006281,0
1779193428.2216,313,7.03,-5.69,4.15,0.4271,0.00681,0
1779193428.2923,314,7.02,-5.88,4.14,0.4285,0.006565,0
1779193428.3673,315,7.08,-5.34,4.11,0.4314,0.006652,0
1779193428.4438,316,7.2,-4.64,3.96,0.434,0.006695,0
1779193428.5234,317,7.31,-4.52,4.12,0.433,0.00646,0
1779193428.6026,318,7.19,-5.86,4.73,0.437,0.006882,0
1779193428.6752,319,7.28,-6.09,4.59,0.4331,0.007101,0
1779193428.7386,320,7.35,-6.75,5.28,0.4404,0.007464,0
1779193428.8022,321,7.26,-7.78,5.66,0.4328,0.007068,0
1779193428.8784,322,7.13,-8.83,5.49,0.4321,0.006541,0
1779193428.9542,323,7.11,-10.74,5.16,0.4298,0.006026,0
